"Structure [idcode]","Molecule Name","cas.rn","molecular.formula","molecular.weight","Dataset Name","Ref","Ref 2","BBDD","CSD","Code","Calculations","cas.index.name"
"fmg`A@E@|I^AQDIBQBPbUBIdPdPdqAEFCTEUATUUUTHAqa`@ !BnrmXt|wPmpK~_}LgVMOLV@JHosFw?[_}@O{}bBnD?g?~_pC~?`BH@ovHm?w_fZ[_wyfYp@","rel-(2R,3S)-2-[Bis(1,1-dimethylethyl)phosphino]-3-(1,1-dimethylethyl)-1-(2,2-...","1044276-95-0","C24H43NP2","407.55","substituted bridge","https://pubs.acs.org/doi/10.1021/ic800430f","Inorganic Chemistry (2008), 47(15), 6900-6912","","0 structures","MS-86","Opt, SPE, NoRh","1H-1,3-Benzazaphosphole, 2-[bis(1,1-dimethylethyl)phosphino]-3-(1,1-dimethylethyl)-1-(2,2-dimethylpropyl)-2,3-dihydro-, (2R,3S)-rel-"
"fmk@QpHHdhG`spuHFdKRCiCt`FPkHMdNr@yB\`nPJHaDQDRDbDbDPTRHRHjjjjjjjjh@@ !B_?xBb@Jw_[]}b@C~_?xBb@Jw@hc~_w?~?`BH?PJHmpI}mpC~@k\BbH`B@k^w_[\B@hbH_P","Phosphonous acid, methylenebis-, tetrakis(2,2,2-trifluoroethyl) ester","130287-71-7","C9H10F12O4P2","472.10","methylene bridge","https://pubs.acs.org/doi/10.1021/ja054371x<NL>https://pubs.acs.org/doi/10.1021/ic0509276<NL>https://www.sciencedirect.com/science/article/abs/pii/S0020169300804508?via%3Dihub","Journal of the American Chemical Society (2005), 127(47), 16641-16651<NL>Inorganic Chemistry (2005), 44(20), 6879-6892<NL>Inorganica Chimica Acta (1990), 172(1), 59-64","","6 structures (bimetallic)","MB-65","Opt, SPE, NoRh",""
"fmk@a@JLAxD|LdbdRTRRRRRRRJjjjjjjjjh@@ !BmwvH__x@mwu}b@Jwb@JH@k\B?g}??`C~bGw~@K]}mwu}b@Jwb@JH@k\B?g|BbGvwmwvw_P","Phosphine, (dipropoxymethylene)bis[dibutyl-","120345-15-5","C23H50O2P2","420.59","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/hc.21024","Heteroatom Chemistry (2012), 23(4), 352-372","","0 structures","DS-44","Opt, SPE, NoRh","Phosphine, (dipropoxymethylene)bis[dibutyl-"
"fmkHA@JLlxG`SprRIIQQQIIIQQiJjjjjjjjj`@@ !B_X`@?gvw_?xBb@Jw_[]}bGvH@Ox@?gvw_?xBb@JH@k\BmpJw_Xa}mpC~_Xa??g?~@ha??`","Diethylamine, N,N′,N′′,N′′′-[methylenebis(phosphinidynedimethylene)]tetrakis-","5557-28-8","C21H50N4P2","420.60","methylene bridge","-<NL>-","Patent<NL>Helvetica Chimica Acta (1966), 49(2), 842-51","","0 structures","MB-66","Opt, SPE, NoRh",""
"fmo@A@@^@oCIHhhddeEmEBdee^LElqkj@H@h@@@@@@@ !BzFpBmw?~TP@pkWvw@Oy}bNalzFpBmpJw_?xn@CBm@Oy}mwvHLIKg[G?~_?xn@Bx@_Xcg[@","Bis(diphenylphosphino)methane","2071-20-7","C25H22P2","384.39","methylene bridge","","2354 references","","692 structures","MB-67","Opt, SPE, NoRh",""
"fmo@A@@^@oCIHhhddeEmEBdee^LElqkj@H@h@hJHB`J`@ !B_?xn@@Jw_[]}bCBRyvp@?g?~_?xn@Bx@@k_h[GvHyvq}mpC~TP@pkPJw@k_h[Nal@OxpkP","Cyclohexyl[(diphenylphosphino)methyl]phenylphosphine","165614-01-7","C25H28P2","390.44","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/1995/c3/c39950000849","Journal of the Chemical Society, Chemical Communications (1995), (8), 849-51","","0 structures","MB-68","Opt, SPE, NoRh",""
"fmo@A@@^@oCIHhhddeEmEBdee^LElqkj@H@hJjjhJ@@ !B_?xn@@Jw_[]}bCBRyvp@?g?~_?xn@Bx@zFpBmwvHyvqQ@CBm_[\@?nalzFpBmpJwLJt@?`","Dicyclohexyl[(diphenylphosphino)methyl]phosphine","83291-39-8","C25H34P2","396.49","methylene bridge","https://www.sciencedirect.com/science/article/abs/pii/S0022328X00003399?via%3Dihub<NL>-<NL>https://pubs.rsc.org/en/content/articlelanding/1995/c3/c39950000849<NL>https://pubs.acs.org/doi/abs/10.1021/om00072a022","Journal of Organometallic Chemistry (2000), 607(1-2), 182-193<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1999), (11), 1867-1876<NL>Journal of the Chemical Society, Chemical Communications (1995), (8), 849-51<NL>Organometallics (1982), 1(12), 1667-70","","0 structures","MB-69","Opt, SPE, NoRh",""
"fmo@A@@^@oCIHhhddeEmEBdee^LElqkjBhJh`hJHb@@ !B@k_h[G?~_[\@?eD@LJu}b@Jw@k_h[NalK`A??`C~LJtpdn]l_[]}bBx@K`A??g?~yvq}b@","Phosphine, methylenebis[cyclohexylphenyl-","165614-02-8","C25H34P2","396.49","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/1995/c3/c39950000849","Journal of the Chemical Society, Chemical Communications (1995), (8), 849-51","","0 structures","MB-70","Opt, SPE, NoRh",""
"fmo@A@@^@oCIHhhddeEmEBdee^LElqkjBhJhjjjhj`B`@ !BK`A??`JwLIKg[Gvw_X`@?bx@K`A??g?~zFpBm~]l_XaQ@CBm_[\@?nalzFpBmpJwLJt@?`","Cyclohexyl[(dicyclohexylphosphino)methyl]phenylphosphine","165614-03-9","C25H40P2","402.53","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/1995/c3/c39950000849","Journal of the Chemical Society, Chemical Communications (1995), (8), 849-51","","0 structures","MB-71","Opt, SPE, NoRh",""
"fmo@A@@^@oCIHhhddeEmEBdee^LElqkjjjjjjjjjj@@ !BzFpBmw?~TP@pkWvw@Oy}bNalzFpBmpJw_?xn@CBm@Oy}mwvHLIKg[G?~_?xn@Bx@_Xcg[@","Bis(dicyclohexylphosphino)methane","137349-65-6","C25H46P2","408.58","methylene bridge","","173 references","","44 structures","MB-72","Opt, SPE, NoRh",""
"fmoPA@BQAxB|LdbbbRRTVtTJRVUxpVsFnh@`B`@@@@@@@ !B@k_h[G?~@Oy}muD@LJu}b@Jw@k_h[NalK`A??gvwLJwg[CBR_[]}bBx@K`A??g?~LII}b@","Pyridine, 2,2′-[methylenebis(phenylphosphinidene)]bis-","123133-45-9","C23H20N2P2","386.37","methylene bridge","https://www.tandfonline.com/doi/abs/10.1081/SCC-200064921<NL>https://pubs.acs.org/doi/abs/10.1021/om00118a050","Synthetic Communications (2005), 35(14), 1889-1895<NL>Organometallics (1990), 9(4), 1222-7<NL>Patent","","1 structure (not bidentate)","MB-73","Opt, SPE, NoRh",""
"fmw@A@@^@o@hbDaHQHQDRDaLrDaDGR[Yfnh@h@h@j`@H@h@@ !B?g}?Kh`BbOvw?ZtpD~_~@H`B?g?~_w|n_rzw@h`BbOw~@K_}D~^w?_x@bOw~@H`Bb@K~@@","","2425655-05-4","C25H30P2","392.45","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.organomet.0c00283","Organometallics (2020), 39(13), 2511-2525","","SUPTAB (Pd)","MB-74","Opt, SPE, SPE_NoRh",""
"fmw@A@@^@oAJfYYUf_iktFvTkj@H@J@Jj`B@D@ !B?X`@?ovw_?xBb@JH@k\Bm?vH?[_}b@C~@Ox@?ovw@ha??g?~@k_~@@C~?g~H?_vwmpK}mp","","2953670-50-1","C25H32P2","394.47","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2023/dt/d2dt04026c","Dalton Transactions (2023), 52(8), 2424-2439","","0 structures","MB-75","Opt, SPE, SPE_NoRh",""
"fmw@A@@^@oAJfY[nUVfgipLtkjjh@h@jjBADHb@@ !BnijuUbzMLbDYrmTYWcKr|UZuafk~S]UfKht@XSHaLbGUF]TYcUDnc[HnPTtrPSxrafkUY`","(2R,5R)-1-[[Bis(1,1-dimethylethyl)phosphino]methyl]-2,5-diphenylphospholane","1789705-59-4","C25H36P2","398.50","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2015/cc/c5cc03517a","Chemical Communications (Cambridge, United Kingdom) (2015), 51(50), 10206-10209","","MUDCIZ (Rh)","MB-76","Opt, SPE, NoRh",""
"fmw`A@H@|A^FRQQQQIIRzJYIKVBvXuuTETE@@@@@@@ !B@ha??`Jw@Oy}bGvH_[\@?gvw@h`BbG?~_?{h[@Jw_[\pkUD@_[\@?nalzFpBmpJwTP@@?`","P-[1-(Diphenylphosphino)ethyl]-N,N-diethyl-P-phenylphosphinous amide","146356-47-0","C24H29NP2","393.44","monosubstituted C-bridge","https://pubs.acs.org/doi/abs/10.1021/om00027a004","Organometallics (1993), 12(3), 603-4","","0 structures","MS-11","Opt, SPE, NoRh",""
"fmw`A@H`|A^FRQQQIIJKYFZIKJ|XLuu@D@TETD@A@U@@ !B@h`Bmw?~@O{}b@C~?[_}b@JH@h`BmpJw_?xBbOvH?[_}m?vH_?xBm?vw?Xc}mw?~_?y}b@","N-[[[(Diphenylphosphino)methyl]ethylphosphino]methyl]-N-ethylbenzenamine","1086220-83-8","C24H29NP2","393.44","methylene bridge","-","Helvetica Chimica Acta (1965), 48(5), 1034-9","","0 structures","MB-77","Opt, SPE, NoRh",""
"fmw`A@L`|A^FRQQQIIJKZHiQYJ|XMQu@D@T@PTTA@Q@@ !B_?xBb@Jw_Xa}mwvH@Ox@?g?~_?xBb@JH@k\BbOvw@Oy}mpC~@OxBmpJw@k\Bb@C~@Ox@?`","N-[[[(Diphenylphosphino)methyl]phenylphosphino]methyl]-N-ethylethanamine","2071-23-0","C24H29NP2","393.44","methylene bridge","-","Patent<NL>Helvetica Chimica Acta (1965), 48(5), 1034-9","","0 structures","MB-78","Opt, SPE, NoRh",""
"fm@A@@^@oCIHhhddeEmEBdebLUxpVsFnh@`B`@@@H@@@ !Bs}Hqox`BJ{meXM~YUKnH_]~fwzYeGvT_b@K~_vU`UKo~@Ha}bGvw_X`Bb@K~_?y?bGvw_P","5-[(Diphenylphosphino)methyl]-5H-benzo[b]phosphindole","1356412-25-3","C25H20P2","382.37","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2013/dt/c2dt32032k<NL>https://pubs.acs.org/doi/10.1021/om2008265","Dalton Transactions (2013), 42(1), 75-81<NL>Organometallics (2012), 31(3), 857-869","","FEGPUE, FEGQAL (Ru)","MB-79","Opt, SPE, NoRh",""
"echP@D@@OASpRiiiUUYgghsJpjrkqhKhHZjjjjjjjjjjjAQ@@ !BqzKXhoyOAwu?_ixphSC|bGa}vIv[tioRf}JdtjSRiMK~S}bb_wz^LIxp?Hax_Wa}LO{~St?~","","2379562-00-0","C26H44P2","418.58","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.orglett.9b02702","Organic Letters (2019), 21(22), 8874-8878","","MOXFAJ (Rh)","MB-80","Opt, SPE, SPE_NoRh",""
"ecjX@LLK@E`spr|@EdySbbHbHbHaIrDaHrhRHRH`P`dPppXHhHxhDXdxTDTjjjjjjjjj@@@DMHX`G|J@JaVEDUQSE\TITaJD !BgZRiWEY\elNbFvJdr\M~o?x@GQoiWo{f?ndise[NJ\xitQXq?nYVsbgNUcGNUmEVJ]GQUlyV","(1S)-1-[(S)-[[Bis(1,1-dimethylethyl)phosphino]methyl]methylphosphino]-2-[(1S)...","1909310-50-4","C24H41FeNP2","461.38","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.orglett.7b02972<NL>https://pubs.rsc.org/en/content/articlelanding/2017/cc/c7cc04401a","Organic Letters (2017), 19(24), 6474-6477<NL>Chemical Communications (Cambridge, United Kingdom) (2017), 53(70), 9785-9788","","0 structures","MB-143","Opt, SPE, SPE_NoRh","Ferrocene, 1-[(S)-[[bis(1,1-dimethylethyl)phosphino]methyl]methylphosphino]-2-[(1S)-1-(dimethylamino)ethyl]-, (1S)-"
"fc{`S`NPP{pO@caQpYxA\HnBW@hbDQHRHRHRDEDbDbDbJjjjjjjjj`@@ !B_Xa}mpC~_?xBmpJw@ha??ox@?g|Bmx`Bmwt@?gvw_X`Bb@Jw?Xbw_X`B@hbw@ha}@k^w_X`B","P,P,P′,P′-Tetrakis(trimethylsilyl) P,P′-[[(trimethylsilyl)amino]methylene]bis...","1259009-09-0","C16H47NO4P2Si5","519.92","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21220<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21220","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Heteroatom Chemistry (2015), 26(1), 101-105<NL>Russian Journal of General Chemistry (2010), 80(9), 1889-1890","","0 structures","MS-87","Opt, SPE, NoRh","Phosphonous acid, P,P′-[[(trimethylsilyl)amino]methylene]bis-, P,P,P′,P′-tetrakis(trimethylsilyl) ester"
"fc@A@@^@oAJfYUV_f]Wu^LGjy{j@H@h@B@@@H@h@@ !BzFpBmw?~LJuQ@@C~?[_}bNalzFs|mpJwK`A??eD@?[_g[CBR?Xc}m~alK`@n@G?~_?xpdgvw","[(Diphenylphosphino)methyl](4-methylphenyl)phenylphosphine","1148036-20-7","C26H24P2","398.42","methylene bridge","https://link.springer.com/article/10.1007/s11243-008-9081-z","Transition Metal Chemistry (Dordrecht, Netherlands) (2008), 33(5), 569-572","","0 structures","MB-81","Opt, SPE, NoRh",""
"fc@A@@^@oCIHhhhddimhhTdmhMh}WO]PAHAP@@@@@@@ !B@k_h[G?~_[\@?eD@LJu}bGvw@k\Bm~alzFpn@G?~@OxpkSBRyvq}mwvHK`@n@G?~_?{g[GvH","1,1′-Ethenylidenebis[1,1-diphenylphosphine]","84494-89-3","C26H22P2","396.40","monosubstituted","","101 references","","16 structures (Fe, W, Os, Ru, Pd, Pt)","DS-4","Opt, SPE, NoRh<NL>",""
"fc@A@@^@oCIHhhhddimhhTdmhMh}WO]PAPAP@@@@@@@ !B@k_h[G?~_[\@?cBmTPA}bGvw@k\Bm~alzFpn@G?~@OyQ@CBRyvq}mwvHK`@n@G?~_?{g[GvH","1,1′-Ethylidenebis[1,1-diphenylphosphine]","28240-60-0","C26H24P2","398.42","monosubstituted C-bridge","","38 references<NL>","","DARQAR, FAWVAA, HAJCAW (Pd), FUVFEI (Cr), UPEJOP, UPEJUV, UPEKAC, NAYDOK (Ru)","MS-12","Opt, SPE, NoRh",""
"fc@A@@^@oCIHhhhddimhhTdmhMh}WO]PAPAPUUUPT@@ !BK`A??`JwLIKg[Gvw_X`@?gvwK`@n@G?~_?xBm~alyvq}bGvw@OxpkUD@@k\Bm~alzFp@?eD@","Dicyclohexyl[1-(diphenylphosphino)ethyl]phosphine","1579951-15-7","C26H36P2","410.51","monosubstituted C-bridge","https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/chem.201304239","Chemistry - A European Journal (2014), 20(8), 2175-2178","","GIVJUS (hemilabile)","MS-13","Opt, SPE, NoRh",""
"fc@a@EZAxR|LdbbdTTUfVbaRRuEVcu\}uAUTEQUUUQR@SB@@ !BJxRYw}CR_?xBbM~ff]?@fXa}LXA}mwvH_XbH@oy?_?xBbOx@bGvw_Xa}b@JH@oy??g~H_Xa}","(2S,3R)-2-(Dicyclohexylphosphino)-3-(1,1-dimethylethyl)-2,3-dihydro-4-methoxy...","1215081-30-3","C24H38O2P2","420.51","substituted bridge","https://pubs.acs.org/doi/10.1021/ol1000999","Organic Letters (2010), 12(5), 1104-1107","","0 structures","MS-88","Opt, SPE, NoRh","1,3-Benzoxaphosphole, 2-(dicyclohexylphosphino)-3-(1,1-dimethylethyl)-2,3-dihydro-4-methoxy-, (2S,3R)-"
"ek`P@D@@O@SpRifUUgygUT|LBzVfvj@H@h@B@@`A@B`R`@ !BzFpBmw?~TP@pkPC~?[_}bNalzFs|mpJw_?xn@CBm?[_}m?vHyvppdnal_?y??bx@K`A}bCBR_?x","rel-(1R,1′R)-1,1′-Methylenebis[1-(4-methylphenyl)-1-phenylphosphine]","1148036-18-3","C27H26P2","412.44","methylene bridge","https://link.springer.com/article/10.1007/s11243-008-9081-z","Transition Metal Chemistry (Dordrecht, Netherlands) (2008), 33(5), 569-572","","VOCWUG (Mo)","MB-82","Opt, SPE, NoRh",""
"ek`P@D@@O@SprRJJIIIQ[QQIIHySppH[YXzh@`B`@J@@@@@@ !B_?xn_pJH_Xa}msBmyqL@?g?~_?xn_ry?@hchDwvwyqM}b@C~TW|pdg?~Kg|Bb@JHzAOhDpC~LIH","[[Bis(4-methylphenyl)phosphino]methyl]diphenylphosphine","1381966-59-1","C27H26P2","412.44","methylene bridge","https://pubs.acs.org/doi/10.1021/om300092x","Organometallics (2012), 31(12), 4619-4622","","0 structures","MB-83","Opt, SPE, NoRh",""
"ek`P@D@@O@SprRJJIQIJJIKQQK_PJpiI[Xzh@`@h@Jh@@H@J@@ !BbGvRLK]}?g~H@aOh@Bzw@ha}mwvH_YHpdcBw__x@b@K~_?y?b@H@Kk\B?g~H@k\BbGvw_Xa}b@H","","2425655-03-2","C27H30P2","416.48","methylene bridge","https://pubs.acs.org/doi/10.1021/acs.organomet.0c00283","Organometallics (2020), 39(13), 2511-2525","","0 structures","MB-84","Opt, SPE, SPE_NoRh",""
"ek`P@D@@O@SprRJJJIIJI[QRiI[RJqH[YXzh@d@j@@@@@@@@ !B@hchDw?~@Oy}bCBRTW}}mwvH@h`BbN`SzALn_w?~_?y}bEE?LJwgDwvH_[\n_ry?_?y??n\S_[\","Phosphine, 1-propenylidenebis[diphenyl-","115167-09-4","C27H24P2","410.43","monosubstituted","https://pubs.rsc.org/en/content/articlelanding/1994/dt/dt9940001791<NL>https://pubs.rsc.org/en/content/articlelanding/1992/dt/dt9920002353<NL>https://www.sciencedirect.com/science/article/abs/pii/S0277538700805586?via%3Dihub","Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972-1999) (1994), (12), 1791-7<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1972-1999) (1992), (15), 2353-60<NL>Polyhedron (1988), 7(3), 239-41","","WIBHOE (free ligand)","DS-5","Opt, SPE, NoRh<NL>",""
"ek`P@D@@O@SprRJJJQIIP{QPiIXrIqH[YXzh@j@J@@@@@@@@ !B_?xBmpJH_Xa}mpC~_[\BbK\BbGu??g?~@k\BmpC~_Xa}mwvw@h`Bmw?~@h`@?`C~_Xa}b@Jw@h`","1,1′-(1-Methylethylidene)bis[1,1-diphenylphosphine]","57585-26-9","C27H26P2","412.44","disubstituted","","21 references","","PUNPIX, XABZIK, XACBEJ (Pd), ZETZED, ZETZIH, ZETZIH01 (Ru), TUTBIV, TUTCOC (Fe), VUYYAQ (Cr), ZACBAF (Pt)","DS-6","Opt, SPE, NoRh<NL>",""
"ek`X@D@@`O@SprRJJJIIJI[QRiI[RJqH[YXzh@h@k@@@@@@@@ !B@hchDw?~@Oy}bCBRTW}}mwvH@h`BbN`SzALn_w?~_Xa}bEE?LJwgDwvH_[\n_ry?_?y??n\S_[\","2,2-Bis(diphenylphosphino)acetonitrile","937025-32-6","C26H21NP2","409.40","monosubstituted C-bridge","https://www.sciencedirect.com/science/article/abs/pii/S1387700311005326?via%3Dihub<NL>https://journals.iucr.org/e/issues/2011/01/00/fj2370/index.html<NL>https://www.sciencedirect.com/science/article/pii/S0020169307001156?via%3Dihub<NL>https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/ejic.200700082<NL>https://pubs.rsc.org/en/content/articlelanding/2007/dt/b616847g","Inorganic Chemistry Communications (2012), 15, 216-220<NL>Acta Crystallographica, Section E: Structure Reports Online (2011), 67(1), m64<NL>Inorganica Chimica Acta (2008), 361(6), 1668-1675<NL>European Journal of Inorganic Chemistry (2007), (19), 3083-3090<NL>Dalton Transactions (2007), (14), 1409-1415","","QEZCEE (Pd), QEZCII (Pt), QEZCOO (Ru)","MS-14","Opt, SPE, NoRh",""
"ekhP@D@@O@SprRJJJQIIP{QPiIZQPrIqH[YXzh@j@J@@@@`@@@ !B?g~H@k\Bm?vH?Xc}?`C}b@U_WpW~_?y?b@JH@`JH_?zH?_x@?X`@?ovH?[\Bb@JH_?y??`C~?[\","1,1′-Cyclopropylidenebis[1,1-diphenylphosphine]","96921-88-9","C27H24P2","410.43","disubstituted","","9 references","","6 structures (not mononuclear)","DS-7","Opt, SPE, NoRh<NL>",""
"fkgAS`HHyxHO@caQpYxQ\DnFW@hbDQHaHaHaHRTRHRHRHjjjjjjjjj`@@ !B_[]}b@C~@k]??gbt^e|EH@Jwb@Jw_W?~?`C~_ze@DET`AV|j^KP`APU_^bAoJeUoJaAxmHmxm@\","Phosphonous acid, [1-[(trimethylsilyl)oxy]ethylidene]bis-, tetrakis(trimethyl...","104797-19-5","C17H48O5P2Si5","534.94","substituted bridge","-","Zeitschrift fuer Chemie (1985), 25(10), 370-1","","0 structures","DS-45","Opt, SPE, NoRh","Phosphonous acid, [1-[(trimethylsilyl)oxy]ethylidene]bis-, tetrakis(trimethylsilyl) ester"
"fkg`S`NPQxHO@caQpYxQ\DnFW@hbDQHaHaHaHRTRHRHRHjjjjjjjjj`@@ !Bxog~@NwyPch}voy?{_gm~apU?gpt|cte?ob}NauyxoecZoxCPch}Q_zTOSiD{[wE]gt\E_y|MOH","P,P,P′,P′-Tetrakis(trimethylsilyl) P,P′-[1-[(trimethylsilyl)amino]ethylidene]...","1606176-23-1","C17H49NO4P2Si5","533.95","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21220<NL>https://link.springer.com/article/10.1134/S1070363214030335<NL>","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Heteroatom Chemistry (2015), 26(1), 101-105<NL>Russian Journal of General Chemistry (2014), 84(3), 605-607<NL>Heteroatom Chemistry (2015), 26(1), 101-105<NL>Russian Journal of General Chemistry (2014), 84(3), 605-607<NL>","","0 structures","DS-46","Opt, SPE, NoRh","Phosphonous acid, P,P′-[1-[(trimethylsilyl)amino]ethylidene]bis-, P,P,P′,P′-tetrakis(trimethylsilyl) ester"
"fko@A@@^@oAJfYYYYeYV[VW]jjjjjjjjjjYBHaDqZch@ !Bdd~diK\B@EDSypT`H@Vw_X`Bdd~RSu}ziJRdiOy?mpK~@Ha}D~\Syyn[AR@`AR@EbGvw__x@mwt","Phosphine, [[bis(1-methylethyl)phosphino]methyl]bis[(1R,2S,5R)-5-methyl-2-(1-...","235422-46-5","C27H54P2","440.67","methylene bridge","https://www.thieme-connect.de/products/ebooks/lookinside/10.1055/sos-SD-042-00106<NL>https://pubs.rsc.org/en/content/articlelanding/2004/dt/b401585a<NL>-","Science of Synthesis (2009), 42, 109-154<NL>Dalton Transactions (2004), (12), 1873-1881<NL>Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry (1999), (11), 1867-1876","","0 structures","MB-85","Opt, SPE, NoRh",""
"fkwXABHHd{pP^@oBTa{IHhhhiihgEMEEEJ\jjijjZjjjh@G|PdP !Byc|H`d~RZsn@\SsHQFm}bGvwwtYZG}wp@LDBbG?~_[\@?`T`_[_g[Orw?HbdiE}z_?xBmrx@Szt","P-[[1,3-Bis(1-methylethyl)-1,3,2-diazaphospholidin-2-yl]diazomethyl]-N,N,N′,N...","921588-16-1","C21H46N6P2","444.58","substituted bridge","https://onlinelibrary.wiley.com/doi/10.1002/anie.200603151","Angewandte Chemie, International Edition (2006), 45(44), 7447-7450","","0 structures","DS-48","Opt, SPE, NoRh","Phosphonous diamide, P-[[1,3-bis(1-methylethyl)-1,3,2-diazaphospholidin-2-yl]diazomethyl]-N,N,N′,N′-tetrakis(1-methylethyl)-"
"fkwaQ`NPP{qp^AGBc`spRxY\BbHQDaHaHaHRAQDRHRHRizjjjjjjjjj@@ !B_[]}b@C~_?xBb@Jw@ha??oy??`@BbK\BbGt@?gvw@Oy}b@JH@k\Bb@JH@hbH_[\B@k^w_X`B_X`","P,P,P′,P′-Tetrakis(trimethylsilyl) P,P′-(4-morpholinylmethylene)bis[phosphonite]","1448002-76-3","C17H45NO5P2Si4","517.83","substituted bridge","https://link.springer.com/article/10.1134/S1070363215020048<NL>https://link.springer.com/article/10.1134/S1070363213060340<NL>https://onlinelibrary.wiley.com/doi/10.1002/hc.21100","Russian Journal of General Chemistry (2015), 85(2), 370-379<NL>Russian Journal of General Chemistry (2013), 83(6), 1175-1177<NL>Heteroatom Chemistry (2013), 24(5), 355-360","","0 structures","MS-89","Opt, SPE, NoRh","Phosphonous acid, P,P′-(4-morpholinylmethylene)bis-, P,P,P′,P′-tetrakis(trimethylsilyl) ester"
"fk@A@@^@o@hbDaHQHQDRDaLrHRHQEtfv]gj@J@J@Jj`@H@P@ !B_[\@?gvH_?xBmpJw@h`BbGvH_[]}mpC~@Ox@?gvH@ha??`Jw@hc~_pC~?`Bw_WvHb@I}bGvH_?x","","2953670-49-8","C27H34P2","420.51","methylene bridge","https://pubs.rsc.org/en/content/articlelanding/2023/dt/d2dt04026c","Dalton Transactions (2023), 52(8), 2424-2439","","0 structures","MB-86","Opt, SPE, SPE_NoRh",""
"fk@A@@^@oCIHhhhddhemEHhU}QlgYz`BPBd@jh@@@@ !Bb@K~_{\BbGw~@K]}bGvw__x@b@JH@oy??g~w@oy??`C~@Ha}?`Bw_PC~?g}??h`BmpJw@k\Bmwt","(1,1-Dimethylethyl)[1-(diphenylphosphino)-3-methyl-1,2-butadien-1-yl]phenylph...","109976-10-5","C27H30P2","416.48","monosubstituted","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cber.19871201213","Chemische Berichte (1987), 120(12), 2015-22","","0 structures","DS-8","Opt, SPE, NoRh<NL>",""
"eghP@D@@O@SprRJJJIIJ[ZJIIIGZAVQSG[WU@D`E@@T@@@@@@ !B_?xn_pJH_Xa}msBmyqL@?gvH_?y??by?Kg?hDpJH_[_gDuE?LIH@?gvH_?xn_~`SzALBb@JHLII}b@","","2247144-29-0","C28H26P2","424.45","monosubstituted","https://pubs.acs.org/doi/abs/10.1021/acs.organomet.8b00471","Organometallics (2018), 37(21), 3742-3749","","0 structures","DS-9","Opt, SPE, NoRh<NL>",""
"eghX@D@I@O@SprRJJJIIJJKZJMIKZIVYSG[WU@E@ET@@@@@@@@ !B@hchDw?~@Oy}bCBRTW}}mwvH@h`BbN`SzALn_w?~_?xBbGvHTW|pk^\S_Xa}mry?Kg}??g?~yqM}mp","1,1-Bis(diphenylphosphino)-N,N-dimethylmethanamine","40207-91-8","C27H27NP2","427.46","substituted bridge","https://www.sciencedirect.com/science/article/abs/pii/S0022328X0088331X","Journal of Organometallic Chemistry (1972), 46(2), 297-304","","TORWOP, TORWUV, TORXAC (Mn, oxide)","MS-90","Opt, SPE, NoRh","Methanamine, 1,1-bis(diphenylphosphino)-N,N-dimethyl-"
